"p_censoring","n_sample","prob.E","prob.AE","prob.RE","prob.ARE","TTP.E","TTP.AE","TTP.RE","TTP.ARE","TTD.E","TTD.AE","TTD.RE","TTD.ARE"
"0","50","-0.00 (-0.14; 0.15)","0.06 (0.00; 0.15)","-0.00 (-0.27; 0.29)","0.11 (0.00; 0.31)","-0.01 (-1.12; 1.12)","0.47 (0.02; 1.23)","-0.00 (-0.22; 0.22)","0.09 (0.00; 0.25)","0.01 (-2.60; 2.78)","1.08 (0.04; 3.04)","0.00 (-0.21; 0.22)","0.09 (0.00; 0.24)"
"0","100","-0.00 (-0.11; 0.09)","0.04 (0.00; 0.11)","-0.00 (-0.21; 0.18)","0.08 (0.00; 0.22)","-0.02 (-0.80; 0.78)","0.33 (0.01; 0.92)","-0.00 (-0.16; 0.16)","0.07 (0.00; 0.18)","0.00 (-1.89; 1.94)","0.75 (0.02; 2.10)","0.00 (-0.15; 0.16)","0.06 (0.00; 0.17)"
"0","200","-0.00 (-0.07; 0.06)","0.03 (0.00; 0.07)","-0.00 (-0.14; 0.13)","0.06 (0.00; 0.15)","-0.01 (-0.54; 0.53)","0.22 (0.01; 0.63)","-0.00 (-0.11; 0.11)","0.04 (0.00; 0.13)","-0.01 (-1.38; 1.38)","0.56 (0.02; 1.58)","-0.00 (-0.11; 0.11)","0.05 (0.00; 0.13)"
"0","500","0.00 (-0.04; 0.04)","0.02 (0.00; 0.05)","0.00 (-0.09; 0.09)","0.04 (0.00; 0.10)","0.00 (-0.31; 0.34)","0.14 (0.01; 0.37)","0.00 (-0.06; 0.07)","0.03 (0.00; 0.07)","0.00 (-0.84; 0.84)","0.35 (0.01; 0.94)","0.00 (-0.07; 0.07)","0.03 (0.00; 0.08)"
"0.1","50","-0.00 (-0.14; 0.15)","0.06 (0.00; 0.17)","-0.00 (-0.29; 0.31)","0.12 (0.00; 0.34)","-0.00 (-1.20; 1.30)","0.50 (0.03; 1.40)","-0.00 (-0.24; 0.26)","0.10 (0.01; 0.28)","0.04 (-2.80; 2.97)","1.19 (0.04; 3.23)","0.00 (-0.23; 0.24)","0.10 (0.00; 0.26)"
"0.1","100","-0.00 (-0.11; 0.09)","0.04 (0.00; 0.12)","-0.00 (-0.22; 0.19)","0.08 (0.00; 0.24)","-0.02 (-0.84; 0.80)","0.34 (0.01; 0.98)","-0.00 (-0.17; 0.16)","0.07 (0.00; 0.20)","0.03 (-1.87; 2.01)","0.80 (0.03; 2.19)","0.00 (-0.15; 0.16)","0.06 (0.00; 0.18)"
"0.1","200","-0.00 (-0.07; 0.07)","0.03 (0.00; 0.08)","-0.00 (-0.14; 0.14)","0.06 (0.00; 0.16)","-0.01 (-0.55; 0.56)","0.23 (0.01; 0.65)","-0.00 (-0.11; 0.11)","0.05 (0.00; 0.13)","-0.01 (-1.40; 1.46)","0.59 (0.03; 1.60)","-0.00 (-0.11; 0.12)","0.05 (0.00; 0.13)"
"0.1","500","0.00 (-0.05; 0.04)","0.02 (0.00; 0.05)","0.00 (-0.09; 0.09)","0.04 (0.00; 0.10)","0.01 (-0.32; 0.35)","0.14 (0.01; 0.37)","0.00 (-0.06; 0.07)","0.03 (0.00; 0.07)","0.01 (-0.85; 0.96)","0.37 (0.01; 0.98)","0.00 (-0.07; 0.08)","0.03 (0.00; 0.08)"
"0.3","50","-0.00 (-0.16; 0.17)","0.07 (0.00; 0.19)","-0.01 (-0.32; 0.35)","0.14 (0.01; 0.37)","0.12 (-1.38; 2.70)","0.74 (0.03; 2.70)","0.02 (-0.28; 0.54)","0.15 (0.01; 0.54)","0.13 (-3.75; 4.00)","1.47 (0.06; 4.51)","0.01 (-0.30; 0.32)","0.12 (0.00; 0.36)"
"0.3","100","-0.00 (-0.11; 0.11)","0.05 (0.00; 0.13)","-0.01 (-0.23; 0.21)","0.09 (0.00; 0.26)","-0.00 (-0.97; 1.17)","0.43 (0.02; 1.21)","-0.00 (-0.19; 0.23)","0.09 (0.00; 0.24)","0.11 (-2.18; 2.61)","0.99 (0.03; 2.81)","0.01 (-0.18; 0.21)","0.08 (0.00; 0.23)"
"0.3","200","-0.00 (-0.08; 0.07)","0.03 (0.00; 0.09)","-0.01 (-0.15; 0.13)","0.06 (0.00; 0.17)","-0.01 (-0.61; 0.64)","0.27 (0.01; 0.74)","-0.00 (-0.12; 0.13)","0.05 (0.00; 0.15)","0.13 (-1.48; 1.78)","0.67 (0.02; 1.86)","0.01 (-0.12; 0.14)","0.05 (0.00; 0.15)"
"0.3","500","-0.00 (-0.05; 0.05)","0.02 (0.00; 0.06)","-0.00 (-0.11; 0.09)","0.04 (0.00; 0.12)","0.00 (-0.41; 0.41)","0.17 (0.01; 0.46)","0.00 (-0.08; 0.08)","0.03 (0.00; 0.09)","0.05 (-1.01; 1.11)","0.44 (0.02; 1.19)","0.00 (-0.08; 0.09)","0.04 (0.00; 0.10)"
"0.6","50","0.03 (-0.23; 0.33)","0.12 (0.01; 0.33)","0.05 (-0.45; 0.66)","0.23 (0.01; 0.66)","9752.44 (-1.78; 21.88)","9753.00 (0.05; 21.88)","1959.98 (-0.36; 4.40)","1960.09 (0.01; 4.40)","-0.24 (-7.97; 9.36)","3.12 (0.11; 9.84)","-0.02 (-0.64; 0.75)","0.25 (0.01; 0.79)"
