"p_censoring","n_sample","probTTP.E","probTTP.AE","probTTP.RE","probTTP.ARE","meanTTP.E","meanTTP.AE","meanTTP.RE","meanTTP.ARE","meanTTD.E","meanTTD.AE","meanTTD.RE","meanTTD.ARE","TTP.KLD","TTD.KLD"
"0","50","-0.00 (-0.14; 0.14)","0.06 (0.00; 0.16)","-0.00 (-0.28; 0.28)","0.11 (0.00; 0.32)","-0.01 (-1.11; 1.16)","0.46 (0.02; 1.29)","-0.00 (-0.22; 0.23)","0.09 (0.00; 0.26)","0.03 (-2.71; 2.86)","1.13 (0.04; 3.19)","0.00 (-0.22; 0.23)","0.09 (0.00; 0.26)","0.07 (0.01; 0.24)","0.07 (0.02; 0.23)"
"0","100","-0.00 (-0.10; 0.10)","0.04 (0.00; 0.11)","-0.00 (-0.20; 0.19)","0.08 (0.00; 0.23)","-0.01 (-0.79; 0.81)","0.32 (0.01; 0.91)","-0.00 (-0.16; 0.16)","0.06 (0.00; 0.18)","0.01 (-1.95; 1.99)","0.79 (0.03; 2.23)","0.00 (-0.16; 0.16)","0.06 (0.00; 0.18)","0.04 (0.01; 0.13)","0.05 (0.02; 0.11)"
"0","200","0.00 (-0.07; 0.07)","0.03 (0.00; 0.08)","0.00 (-0.14; 0.14)","0.06 (0.00; 0.16)","-0.00 (-0.55; 0.56)","0.22 (0.01; 0.63)","-0.00 (-0.11; 0.11)","0.04 (0.00; 0.13)","0.00 (-1.39; 1.39)","0.57 (0.02; 1.59)","0.00 (-0.11; 0.11)","0.05 (0.00; 0.13)","0.03 (0.01; 0.08)","0.04 (0.02; 0.07)"
"0","500","0.00 (-0.04; 0.04)","0.02 (0.00; 0.05)","0.00 (-0.09; 0.09)","0.04 (0.00; 0.10)","0.00 (-0.34; 0.35)","0.14 (0.01; 0.39)","0.00 (-0.07; 0.07)","0.03 (0.00; 0.08)","0.01 (-0.86; 0.86)","0.35 (0.01; 0.98)","0.00 (-0.07; 0.07)","0.03 (0.00; 0.08)","0.03 (0.01; 0.05)","0.03 (0.02; 0.05)"
"0.1","50","-0.00 (-0.15; 0.15)","0.06 (0.00; 0.17)","-0.00 (-0.30; 0.29)","0.12 (0.00; 0.34)","0.01 (-1.17; 1.35)","0.51 (0.02; 1.46)","0.00 (-0.24; 0.27)","0.10 (0.00; 0.29)","0.06 (-2.91; 3.10)","1.22 (0.05; 3.48)","0.00 (-0.23; 0.25)","0.10 (0.00; 0.28)","0.08 (0.01; 0.29)","0.08 (0.02; 0.29)"
"0.1","100","-0.00 (-0.10; 0.10)","0.04 (0.00; 0.12)","-0.00 (-0.21; 0.20)","0.08 (0.00; 0.24)","-0.00 (-0.83; 0.86)","0.34 (0.01; 0.97)","-0.00 (-0.17; 0.17)","0.07 (0.00; 0.20)","0.02 (-2.06; 2.08)","0.85 (0.03; 2.40)","0.00 (-0.17; 0.17)","0.07 (0.00; 0.19)","0.05 (0.01; 0.14)","0.05 (0.02; 0.14)"
"0.1","200","-0.00 (-0.07; 0.07)","0.03 (0.00; 0.08)","-0.00 (-0.14; 0.14)","0.06 (0.00; 0.16)","-0.00 (-0.58; 0.59)","0.24 (0.01; 0.68)","-0.00 (-0.12; 0.12)","0.05 (0.00; 0.14)","0.01 (-1.48; 1.47)","0.60 (0.02; 1.70)","0.00 (-0.12; 0.12)","0.05 (0.00; 0.14)","0.03 (0.01; 0.08)","0.04 (0.02; 0.08)"
"0.1","500","-0.00 (-0.05; 0.04)","0.02 (0.00; 0.05)","-0.00 (-0.09; 0.09)","0.04 (0.00; 0.10)","0.00 (-0.36; 0.37)","0.15 (0.01; 0.41)","0.00 (-0.07; 0.07)","0.03 (0.00; 0.08)","0.02 (-0.90; 0.94)","0.37 (0.01; 1.04)","0.00 (-0.07; 0.08)","0.03 (0.00; 0.08)","0.03 (0.01; 0.05)","0.03 (0.02; 0.05)"
"0.3","50","-0.00 (-0.16; 0.18)","0.07 (0.00; 0.20)","-0.00 (-0.33; 0.36)","0.14 (0.01; 0.40)","0.38 (-1.35; 2.99)","0.94 (0.03; 2.99)","0.08 (-0.27; 0.60)","0.19 (0.01; 0.60)","0.08 (-3.98; 4.11)","1.59 (0.05; 4.78)","0.01 (-0.32; 0.33)","0.13 (0.00; 0.38)","0.12 (0.01; 0.45)","0.15 (0.03; 0.76)"
"0.3","100","-0.00 (-0.12; 0.12)","0.05 (0.00; 0.13)","-0.00 (-0.23; 0.23)","0.09 (0.00; 0.27)","0.02 (-0.95; 1.17)","0.42 (0.02; 1.23)","0.00 (-0.19; 0.23)","0.08 (0.00; 0.25)","0.06 (-2.43; 2.67)","1.03 (0.04; 2.94)","0.00 (-0.20; 0.22)","0.08 (0.00; 0.24)","0.06 (0.01; 0.19)","0.07 (0.02; 0.24)"
